"","nbr.val","min","max","mean","median","std.dev"
"blurb_word_count",9693,1,33,19.2588465903229,20,4.97944136927729
"category_art",9693,0,1,0.0748994119467657,0,0.263242548193467
"category_comics",9693,0,1,0.0180542659651295,0,0.133154566631981
"category_crafts",9693,0,1,0.0189827710719076,0,0.136471047833213
"category_dance",9693,0,1,0.0105230578768183,0,0.102046055539408
"category_design",9693,0,1,0.0316723408645414,0,0.175135285057234
"category_fashion",9693,0,1,0.0728360672650366,0,0.259880630815572
"category_film_video",9693,0,1,0.150520994532137,0,0.357599800779159
"category_food",9693,0,1,0.0764469204580625,0,0.265725560412465
"category_games",9693,0,1,0.070875889817394,0,0.256630654016704
"category_journalism",9693,0,1,0.0196017744764263,0,0.13863451135745
"category_music",9693,0,1,0.16321056432477,0,0.369576740768667
"category_photography",9693,0,1,0.023625296605798,0,0.151886543132896
"category_publishing",9693,0,1,0.127617868564944,0,0.333681038030115
"category_technology",9693,0,1,0.115959971113174,0,0.320193431089579
"category_theater",9693,0,1,0.0251728051170948,0,0.156657801898038
"country_at",9693,0,1,0.00206334468172908,0,0.0453795079602244
"duration_campaign_launch_to_deadline",9693,1,92,34.9527494067884,30,12.6610726623147
"has_faq",9693,0,1,0.128340039203549,0,0.334485300026535
"is_asking_for_help",9693,0,1,0.00866604766326215,0,0.0926921446341403
"rewards_levels",9693,1,102,7.39482100484886,7,4.9639644486339
"rewards_max",9693,0,10525,1604.02981533065,500,2543.37093463409
"rewards_mean",9693,0,10000,370.656968946663,158,682.900152500615
"rewards_min",9693,0,10000,45.4673475704116,6,454.018455387885
